code_market,customer_name,regency,province,expedition_name,term_payment,operational_time,customer_contact,customer_PIC,email,customer_address,customer_character
"MT","APOTEK CANNA FARMA 7","SERANG","BANTEN","PT. SARANA MULYA LOGISTICS","","","08974408444","","","Jl. Raya Ciruas - Walantaka No. 2
Pipitan, Kec. Walantaka, Kab. Serang
Kab. Serang, Banten 42183 ",""
"MT","APOTEK CILIMUS KF","Kuningan","Jawa Barat","PT. LESTARI JAYA RAYA","","","0231-236891","","","JL. RAYA CILIMUS NO.72
CILIMUS KUNINGAN
CIREBON 45556
JAWA BARAT
","arsy"
"MT","CIRCLE-K BALI 1","KOTA DENPASAR","BALI","PAXEL","COD","","087877612538","","","JL. M T HARYONO NO.2B
KEL. DAUH PURI KEC. DENPASAR BAR
KOTA DENPASAR
BALI 80232",""
"MT","CIRCLE-K BANDUNG 1","KOTA BANDUNG","JAWA BARAT","PT. CITRA VAN TITIPAN KILAT (TIKI)","NET 30","","022-8564454","","","JL. SOEKARNO HATTA NO.447
CISEUREUH KEC. REGOL
KOTA BANDUNG
JAWA BARAT 40255
",""
"MT","CIRCLE-K BATAM 1","BATAM","KEPULAUAN RIAU","PT Lion Express","NET 30","","07784802000","","","Executive Industrial Park Blok B1 No.06
Jl. Raya Engku Putri Batam Center
BATAM 29464
KEP. RIAU",""
"MT","CIRCLE-K JAKARTA 1","KOTA JAKARTA TMUR","DKI JAKARTA","PT. SARWA MANGGALLA RAYA","NET 30","","021-8564454","","","KOMPLEK PERGUDANGAN ALUN INDAH C12
JL RAYA BEKASI KM 23
KEL. CAKUNG BARAT KEC. CAKUNG BARAT
KOTA JAKARTA TIMUR 13320",""
"MT","CIRCLE-K SURABAYA 1","KABUPATEN SIDOARJO","JAWA TIMUR","PAXEL","COD","","","","","JL. S. PARMAN WARU NO.44
SIDOARJO 61256 
JAWA TIMUR",""
"MT","CIRCLE-K YOGYAKARTA","YOGYAKARTA","JAWA TENGAH","PAXEL","NET 30","","","","","JL. MAGELANG KM 7 NO.9 MLATIJATI
SENDANGADI MLATI
SLEMAN
DAERAH ISTIMEWA YOGYAKARTA  ",""
"MT","CV. KREASI SUKSES MAKMUR","KOTA JAKARTA BARAT","DKI Jakarta","PT. SARWA MANGGALLA RAYA","30 hari dari penerimaan barang","","021-5433 1559","Ibu July","","GREEN SEDAYU BIZPARK
JL. DAAN MOGOT 17 NO.99
KALIDERES JAKARTA BARAT",""
"MT","CV. METRO SEHAT SEJAHTERA","KOTA BANDUNG","Jawa Barat","JNE","","","(022) 756 7148","","","JL. VENUS RAYA NO.31
MANJAHLEGA RANCASARI
BANDUNG 40292
JAWA BARAT INDONESIA 
",""
"MT","DIAMOND SUPERMARKET","KOTA JAKARTA UTARA","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","021-45863828","Janet Sulayman","jsulayman.en@gmail.com","MALL ARTHA GADING
JL. ARTHA GADING SEL NO.1
RW.8 KELAPA GADING BARAT
KEC KELAPA GADING
JAKARTA UTARA 14240 DKI JAKARTA INDONESIA ",""
"MT","DIAMOND SUPERMARKET TANGERANG","KOTA TANGERANG","Banten","PT. SARWA MANGGALLA RAYA","","","02175921135","Bu Sofie","","LOWER GROUND FLOOR POINS SQUARE
JL. R.A. KARTINI NO.1
CILANDAK LEBAK",""
"MT","FAMILYMART BALI","Bali","Bali","JNE","","","0","","","",""
"MT","FAMILYMART CIBITUNG","KABUPATEN BEKASI","Jawa Barat","PT. SARWA MANGGALLA RAYA","","","0","","","",""
"MT","FAMILYMART SETIABUDI","KOTA JAKARTA SELATAN","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","(021) 57904567","","","GRAHA FAMILYMART LT.3A
KARET SETIABUDI
JAKARTA SELATAN DKI JAKARTA","KANTOR PUSAT TEMPAT TUKAR FAKTUR"
"MT","HARIHARI BCP","KOTA BEKASI","Jawa Barat","PT. SARWA MANGGALLA RAYA","Checker Rp. 5000","Senin - Jumat
08:00 s/d 15:00
Sabtu
08:00 s/d 12:00","021-8845328","","bcp1@harihari.co.id","JL. K.H. NOER ALI NO.177
BCP LANTAI BASEMENT
BEKASI BARAT BEKASI 17124
JAWA BARAT INDONESIA 
",""
"MT","HARIHARI BINTARO","KOTA TANGERANG","Banten","PT. SARWA MANGGALLA RAYA","Checker Rp. 5000","Senin - Jumat
08:00 s/d 15:00
Sabtu
08:00 s/d 12:00","021-7466695","Robertus Gunadi","bintaro.po@harihari.co.id","JL. M.H. THAMRIN NO.1 BLOK B7/B2
CBD BINTARO TANGERANG SELATAN
TANGERANG 15224 BANTEN
INDONESIA",""
"MT","HARIHARI BTC","KOTA BEKASI","Jawa Barat","PT. SARWA MANGGALLA RAYA","Checker Rp. 5000","Senin - Jumat
08:00 s/d 15:00
Sabtu
08:00 s/d 12:00","021-88352268
","Ni Made Wahyu","btc@harihari.co.id","JL. H.M. JOYOMARTONO
BULAK KAPAL BTC LANTAI DASAR
BEKASI TIMUR BEKASI 17113 ",""
"MT","HARIHARI CILEDUG","KOTA TANGERANG","Banten","PT. SARWA MANGGALLA RAYA","Checker Rp. 5000","Senin - Jumat
08:00 s/d 15:00
Sabtu
08:00 s/d 12:00","021-58909666","Agus Gunawan","ciledug@harihari.co.id","JL. HOS COKROAMINOTO NO.5
KARANG TIMUR CILEDUG TANGERANG
TANGERANG 15151 BANTEN INDONESIA ",""
"MT","HARIHARI DRAMAGA BOGOR","KOTA BOGOR","JAWA BARAT","PT. ADIKA DWIKARYA UTAMA","NET 30","","","","","JALAN DRAMAGA KM 65 RW.02 RT.03 
MARGA JAYA
BOGOR
16116 ",""
"MT","HARIHARI FATMAWATI","KOTA JAKARTA SELATAN","DKI Jakarta","PT. SARWA MANGGALLA RAYA","Checker Rp. 5000","Senin - Jumat
08:00 s/d 15:00
Sabtu
08:00 s/d 12:00","021-7399448","Indra Sujino","fatma2@harihari.co.id","JL. RS FATMAWATI NO.39
ITC FATMAWATI LANTAI 3
JAKARTA SELATAN 12150
DKI JAKARTA INDONESIA ",""
"MT","HARIHARI KALIDERES","KOTA JAKARTA BARAT","DKI Jakarta","PT. SARWA MANGGALLA RAYA","Checker Rp. 5000","Senin - Jumat
08:00 s/d 15:00
Sabtu
08:00 s/d 12:00","021-5402593","Oey Tjiang Lie","kalideres@harihari.co.id","JL. PETA SELATAN KALIDERES
PERUM KALIDERES PERMAI NO.1
JAKARTA BARAT 11840
DKI JAKARTA INDONESIA ",""
