code_market,customer_name,regency,province,expedition_name,term_payment,operational_time,customer_contact,customer_PIC,email,customer_address,customer_character
"SD","ALEX CHANDRA","KOTA MAKASSAR","SULAWESI SELATAN","KARYATI EKSPEDISI","Rp 67.200/karton","","(0411) 3616096","","","JL. TIMOR NO.122
Endeh Wajo Makassar 
Sulawesi Selatan",""
"SD","ALVIN ARIFIN","Tasikmalaya","Jawa Barat","PT. PANCA KOBRA SAKTI","","","(0265) 328640
","Alvin Arifin","","JL. PERINTIS KEMERDEKAAN NO.38
(DEPAN GARASI SURYA)
JAWA BARAT INDONESIA",""
"SD","APOTEK BERKAH BERSAMA SEJAHTERA","KOTA JAKARTA TIMUR","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","0","","","JL. SWADAYA RAYA NO.331
RT.003/RW.016 DUREN SAWIT
JAKARTA TIMUR
DKI JAKARTA",""
"SD","APOTEK BERKAT","KOTA TANGERANG SELATAN","Banten","PT. SARWA MANGGALLA RAYA","","","","","","VILLA MELATI MAS BLOK L5 NO.32-33
KEL. JELUPANG KEC. SERPONG UTARA
TANGERANG SELATAN 15314
BANTEN
",""
"SD","APOTEK DERAJAT","KOTA CIREBON","JAWA BARAT","DM PA DAMAI","","","0231-221612","Dana","aryadana49@gmail.com","JL. PANGERAN DRAJAT NO.44
CIREBON KOTA CIREBON 45133
JAWA BARAT",""
"SD","APOTEK ENDO NESIA","Magelang","Jawa Tengah","JNE","","","(0293) 3192357
","","","JL. SINGOSARI NO.16
MAGELANG 56124
JAWA TENGAH
",""
"SD","APOTEK ERA 2000","KOTA JAKARTA TIMUR","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","081314701069, 02185904372","","","JL. PASAR SELATAN NO.5E
BALI MESTER JATINEGARA
JAKARTA TIMUR
DKI JAKARTA
",""
"SD","APOTEK HIDAYAH","KOTA JAKARTA TIMUR","DKI JAKARTA","PT. SARWA MANGGALLA RAYA","","","087883887600","","","JL. PASAR BARAT GANG BANTEN X NO.5C
RT.012/RW.005 KEL. BALI MESTER KEC. JATINEGARA
JAKARTA TIMUR
DKI Jakarta",""
"SD","APOTEK HUSNA","KOTA TANGERANG","Banten","PT. SARWA MANGGALLA RAYA","COD","","+6285283555571","","","JL. H. MI'AN RAYA
CILEDUK TANGERANG",""
"SD","APOTEK KENZO","KOTA JAKARTA TIMUR","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","","","","JATINEGARA JAKARTA TIMUR ",""
"SD","APOTEK MULUK INDAH","KOTA CIREBON","Jawa Barat","DM PA DAMAI","Rp 20.000/karton. Minimal Rp. 60.000,-","","0231-202876","","","JL. KESUNEAN NO. 11
KASEPUHAN - LEMAHWUNGKUK
CIREON JAWA BARAT
",""
"SD","APOTEK RAHMAT FARMA","Banjar","Jawa Barat","PT. PANCA KOBRA SAKTI","","","+62265741742","","","HEGARSARI
KEC. PATARUMAN KOTA BANJAR
JAWA BARAT","arsy"
"SD","APOTEK SHEIMAN","KOTA JAKARTA UTARA","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","085780002144
","","","JL. GEMBIRA NO.2A
TANJUNG PRIUK
JAKARTA UTARA DKI JAKARTA",""
"SD","APOTEK SINAR KASIH","KOTA TANGERANG","Banten","PT. SARWA MANGGALLA RAYA","","","(021) 5526481","","","PASAR ANYAR SELATAN
JL. CEMPAKA NO.45D
TANGERANG BANTEN
",""
"SD","APOTIK ILHAM","KOTA PALEMBANG","SUMATERA SELATAN","CV. Fajar Indah ","Rp 60.000/karton","","081377881004
","H Dedy Amir","","MUARA DUA OKU SELATAN
PALEMBANG SUMATERA SELATAN  ",""
"SD","APOTIK KAWI JAYA","KOTA TANGERANG SELATAN","Banten","PT. SARWA MANGGALLA RAYA","","","(021) 74704833","","","JL. PAMULANG PERMAI I BLOK SH 18 NO.15
PAMULANG BARAT
PAMULANG TANGERANG SELATAN 15417
BANTEN
",""
"SD","APOTIK MITRA","KOTA PALEMBANG","SUMATERA SELATAN","CV. Fajar Indah ","Bayar Di Palembang (Potong Tagihan 60000/CTN)","","085669473333
","Marsani","","JL. SERMA ZAKARIA NO.483
BATU RAJA (OKU) SUMATERA SELATAN
INDONESIA "," EXP RATU SUKSES sebelumnya"
"SD","APOTIK MONA","BANDAR LAMPUNG","LAMPUNG","CV. ANGKUTAN SAUDARA","Rp 20.400/karton. Dibawah 3 koli charge Rp 75.000","","(0721) 474348","Yan Bastian","","JL. IKAN SEBELAH NO.13A
KOTA KARANG TELUK BETUNG
BANDAR LAMPUNG 35211
LAMPUNG INDONESIA 
",""
"SD","BAPAK HABELLIUS","KOTA JAKARTA UTARA","DKI JAKARTA","PT. SARWA MANGGALLA RAYA","COD","","08969888798","","","Penjaringan, Jakarta Utara",""
"SD","BAPAK JEFFREY","KOTA JAKARTA UTARA","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","0815-9122219","BAPAK JEFFREY","","JL. LUNDU 1 BLOK P2 NO.17
TELUK GONG
DKI JAKARTA INDONESIA ",""
"SD","CV. AMIN MARKET JAYA","KOTA JAKARTA PUSAT","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","","","","PETOJO BARAT VI NO.7A
RT.011/RW.001 KEL. DURI PULO KEC. GAMBIR
JAKARTA PUSAT 10140
",""
"SD","CV. ATEDA","KABUPATEN SUKABUMI","Jawa Barat","PT. PANCA KOBRA SAKTI","","","08157171704","Jeni","","JL. CIWANGI NO.15
RT.001/RW.001 CIKOLE
SUKABUMI 43113 JAWA BARAT
INDONESIA 
",""
"SD","CV. DWIJAYA SENTOSA ABADI","Surabaya","Jawa Timur","Dakota Buana Semesta","transfer Rp. 18.000 /karton","","(031) 3765686, 3765646, 
3772885, 3772775
","","","JL. KEDUNG COWEK 137
KEL. BULAK KEC. BULAK
SURABAYA ",""
"SD","CV. JAYA LESTARI ABADI","Tanjung Karang Pusat","Lampung","CV. ANGKUTAN SAUDARA","","","0721-263865, 263126","","","JL. WOLTER MONGINSIDI NO.14 LK I
RT.007 DURIAN PAYUNG
TANJUNG KARANG PUSAT
",""
"SD","CV. JENDELA MAS","KABUPATEN KARAWANG","Jawa Barat","PT. SARWA MANGGALLA RAYA","Kuli: Rp. 1000/karton, materai: Rp. 5.000","09:00 s/d 15:00","(0267) 8454655","Yanto","","JL. JENDRAL AHMAD YANI NO.31
RT.003/RW.003 TANJUNG PURA - KARAWANG BARAT
JAWA BARAT INDONESIA
JL. TARUMANEGARA PURWADANA
KEC. TELUKJAMBE KAB. KARAWANG (BARU PINDAH)",""
"SD","CV. KHARISMA DEWI AGUNG","Jambi","Jambi","GSG TRASINDO","Rp 26.500/karton","","(0741) 33060","","","JL. HALIM PERDANA KUSUMA NO.71
KEC. PASAR JAMBI
JAMBI
",""
"SD","CV. PERINTIS JAYA","KOTA BANDUNG","Jawa Barat","PT. PANCA KOBRA SAKTI","Rp. 35.000/karton","","0","","","JL. PASAR BARAT NO.6
KEBON JERUK
ANDIR BANDUNG 40181
",""
"SD","CV. SINAR MUTIARA","Pontianak","Kalimantan Barat","HWU EKSPEDISI","Rp. 32.500/karton",""," 085332674015","Aweng","","JL. GAJAH MADA NO.3
PONTIANAK KALIMANTAN BARAT
",""
"SD","MEI HWA","KOTA JAKARTA","DKI JAKARTA","PT. SARWA MANGGALLA RAYA","COD","","","","","",""
"SD","Nugroho Dewanto DD","KOTA JAKARTA UTARA","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","0","","","APARTEMEN SPRINGHILL TERRACE RESIDENCE
TOWER OAKWOOD 15-A1
KEMAYORAN JAKARTA UTARA 14410 
",""
"SD","PT BERSINAR MANDIRI SUKSES","KABUPATEN SUKOHARJO","JAWA TENGAH","PT. PANCA KOBRA SAKTI","Rp 70.000/karton","","085725235549","","bersinarmandirisukses@gmail.com","BADAN RT.002/RW.001
SANGGRAHAN GROGOL
KAB. SUKOHARJO JAWA TENGAH ",""
"SD","PT BIMA SAKTI PRIMA","KOTA BANDUNG","JAWA BARAT","PT. PANCA KOBRA SAKTI","","","(022) 4200880","","","JL. PASAR BARAT NO.2-6 RT.002/RW.001
KEBON JERUK ANDIR
BANDUNG ","DULU CV.PERINTIS JAYA BERGANTI NAMA MENJADI PT. BIMA SAKTI PRIMA"
"SD","PT BINARA GUNA MEDIKTAMA ","KOTA JAKARTA SELATAN","DKI JAKARTA","PT. SARWA MANGGALLA RAYA","30","08:00 S/D 16:30","021-7657525","","","JL. METRO DUTA KAV. UE PONDOK PINANG
KEL. PONDOK PINANG KEC. KEBAYORAN LAMA
JAKARTA SELATAN 12310",""
"SD","PT BINARA GUNA MEDIKTAMA PURI INDAH","KOTA JAKARTA BARAT","DKI JAKARTA","PT. SARWA MANGGALLA RAYA","","","021-7657525","Bernadeta Bertin Rahayu","bernadeta.bertinrahayu@rspondokindah.co.id","JL. PURI INDAH RAYA S-2
RT.1/RW.2 KEL. KEMBANGAN SELATAN KEC. KEMBANGAN
KOTA JAKARTA BARAT
DKI JAKARTA",""
"SD","PT BUANA SARASWATI","Denpasar","Bali","PT Lion Express","CBD","","0361221847","Pak Agus","buanasaraswati@gmail.com","JL. WR SUPRATMAN NO.72
SUMATERA KAJA
DENPASAR TIMUR",""
"SD","PT BUDHI KURNIAWAN SEJATI","Denpasar","Bali","Dakota Buana Semesta","Rp 45.000/karton","","0361-9066591. 9067584","Indra","pbf.budhikurniawan@yahoo.com","JL. BUNG TOMO V
DUSUN SEMILA JATI
PEMECUTAN KAJA DENPASAR UTARA
KOTA DENPASAR 80118 BALI
",""
"SD","PT BUNDA GLOBAL PHARMA","KOTA DEPOK","Jawa Barat","PT. SARWA MANGGALLA RAYA","","","02178880909 / 02178880880","Bu Gita","","",""
"SD","PT JAYA BINARA MEDIKTAMA ","KOTA TANGERANG SELATAN","BANTEN","PT. SARWA MANGGALLA RAYA","30 HARI","","","","","CBD EMERALD BOULEVARD BINTARO JAYA BLOK CE/C NO.01
RT.003/RW.003 PARIGI
PONDOK AREN KOTA TANGERANG SELATAN
BANTEN 15527",""
"SD","PT MANTERA MURNI INTERNASIONAL","KOTA JAKARTA BARAT","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","","","","PT. SURYA PAMENANG LOGISTIK  (SPL) QQ MCA GUDANG BIMARUNA JAYA
JL. RAYA CAKUNG CILINCING KM1.5
CAKUNG 13910",""
"SD","PT MEDIKARYA ANUGRAH PRIKASIH","KOTA JAKARTA SELATAN","DKI Jakarta","PT. SARWA MANGGALLA RAYA","Net 30","","021-7504669","Ahmad Fauzi","sekretariat.rsprikasih@gmail.com","JL. RS FATMAWATI No.74
RT.005/RW.001 PONDOK LABU-CILANDAK
JAKARTA SELATAN",""
"SD","PT MITRA KELUARGA MANDIRI","Jayapura Selatan","Papua","TRANS PAPUA JAYA","C.O.D","","08124804809","Pujantoro","pujantoro@mkmp.co.id","BELAKANG KOMPLEKS TNI AL HAMADI
RT.004/RW.010 HAMADI JAYAPURA SELATAN
KOTA PAPUA 99220 INDONESIA",""
"SD","PT MUJUR INDO PERSADA","BATAM","KEPULAUAN RIAU","PT. ANUGERAH BERDIKARI SEJATI","","","","Bapak Afrinaldi","pbf_mipersadabatam2@yahoo.com","KOMPLEK LYTECH INDUSTRIAL PARK D NO.3A
KEL. BELIAN KEC. BATAM
KOTA BATAM KEPULAUAN RIAU",""
"SD","PT OMEGA SUKSES ABADI ","BATAM","Kepulauan Riau","PT. ANUGERAH BERDIKARI SEJATI","","","082386608080","","","MEGA JAYA INDUSTRIAL PARK BLOK B NO.10
KEL. BALAI PERMAI KEC. BATAM KOTA
KOTA BATAM 29431","PBF"
"SD","PT PANJANG JIWO PERKASA","Palu","Sulawesi Tengah","JNE","","","04514011855","Pak Rasmon","panjangjiwoperkasa@gmail.com","JL. DANAU TALAGA NO.09
RT.004/RW. 001 SIRANINDI PALU BARAT
KOTA PALU SULAWESI TENGAH 94111
INDONESIA",""
"SD","PT SEMESTA MEGAH SENTOSA","SEMARANG","JAWA TENGAH","PT. PANCA KOBRA SAKTI","Rp 35.000","","082257892267","Bapak Septin","tamasepty@gmail.com","JL. KI MANGUNSARKORO NO.43
KEC. SEMARANG TENGAH
KOTA SEMARANG - JAWA TENGAH",""
"SD","PT Sukses Lestari Perkasa","KOTA JAKARTA TIMUR","DKI Jakarta","PT. SARWA MANGGALLA RAYA","Parkir 5,000","15:00 s/d 18:00","0","Bpk. Ayung","","JL. TELUK GONG RAYA RT.12/RW.10 PEJAGALAN
KEC. PENJARINGAN KOTA JAKARTA UTARA
DAERAH KHUSUS IBUKOTA JAKARTA 14450","TO. ASEP / TO. ANTO / TO. MUARA JAYA"
"SD","PT SUMBER AGUNG SENTOSA","KABUPATEN SUKOHARJO","Jawa Tengah","Dakota Buana Semesta","61.000/Ctn
11 Coli 670.000","","0281-3177-8788","Ibu Hani","sonymey@gmail.com","JL. VETERAN NO. 2 PALUR
KEC. MOJOLABAN SUKOHARJO
JAWA TENGAH",""
"SD","PT TRIPUTRA MANDIRI","SUMATERA SELATAN","SUMATERA SELATAN","","","","081273665323","Pak Amin","triputramandiridistribusi@yahoo.com","JL.TALANG JAMBE RUKO NO.2
RT.016/RW.004 KEL. TALANG JAMBE KEC. SUKARAMI
KOTA PALEMBANG SUMATERA SELATAN",""
"SD","PT TRIPUTRA MULIA FARMASINDO","KABUPATEN CIREBON","JAWA BARAT","PT. PANCA KOBRA SAKTI","","","0231) 225540","","","Jl. Pilang Raya No.90, Kel. Pilangsari, Kec. Kedawung
Cirebon, Jawa Barat, 45153
Cirebon 45153
Jawa Barat",""
"SD","PT. ACACIA JAYA ABADI","Surabaya","Jawa Timur ","Dakota Buana Semesta","","","0","","","JL. RAYA KALI RUNGKUT NO.3 BLOK N38-39 PANJANGJIWO
TENGGILIS MEJOYO SURABAYA 60299",""
"SD","PT. ADITAMA MAKMUR SENTOSA","BANDAR LAMPUNG","Lampung","CV. DIMAR ABADI EXPRESS","Rp. 25.000/karton","","0721-8013366,","Endeng","aditamams25@yahoo.com","JL. PULAU BURU NO.77
RT.03 WAY HALIM PERMAI
BANDAR LAMPUNG 
",""
"SD","PT. ADITYA FARMATAMA","Denpasar","Bali","Dakota Buana Semesta","Rp 56.000/karton","","0361-228987","I Made Rano","aftadps_adm@yahoo.co.id","JL. PULAU SAELUS II NO.11 SESETAN
DENPASAR SELATAN
DENPASAR 80223 BALI",""
"SD","PT. AGUNG PHARMINDO INDONESIA","PONTIANAK","Kalimantan Barat","HWU EKSPEDISI","Rp 23.000/karton","","05618183481","Eka Wijayanti","agungpharmindo@gmail.com","JL. TANJUNG RAYA II NO.101 RT.02/RW.04 DALAM BUGIS",""
"SD","PT. ALIDA PERINTIS JAYA","KOTA BANDUNG","Jawa Barat","PT. PANCA KOBRA SAKTI","Rp 30.000/karton","","022-6045602, 6045603, 6128360, 6128450","Yoris Kurniawan","alida_pj@yahoo.com","JL. BABAKAN TAROGONG NO.110 RT.05/RW.05
KEL. BABAKAN ASIH KEC. BOJONG LOA KALER
BANDUNG 40232 JAWA BARAT INDONESIA 
",""
"SD","PT. ARIA JIWA FARMA","BANDAR LAMPUNG","Lampung","PT. MAKMUR PRIMA EXPRESS","","","081977935925","Jacky","","JL. PULAU SEBESI NO.168
SUKARAME BARU 
SUKARAME BANDAR LAMPUNG 35131 

",""
"SD","PT. BAHTERA SEHAT SEJAHTERA","KOTA JAKARTA BARAT","DKI Jakarta","PT. SARWA MANGGALLA RAYA","Parkir 5,000","09:00 s/d 16:00","+62215600530","","","JL. MUWARDI II NO.15 RT.014/RW.003
RT.8/RW.7 GROGOL KEC. GROGOL PETAMBURAN
KOTA JAKARTA BARAT
DAERAH KHUSUS IBUKOTA JAKARTA 11450",""
"SD","PT. BANGUN MITRA FARMASINDO","Manado","Sulawesi Utara","PT. LESTARI JAYA RAYA","","","085338798888, 082349497442
","Benny","bennytumbelaka@yahoo.com","JL. SISWA LINGK. III No.77
TAAS TIKALA MANADO 95129
SULAWESI UTARA INDONESIA",""
"SD","PT. BANYUMAS","Denpasar","Bali","Dakota Buana Semesta","Rp 45.000/karton","","(0361) 235125","Wayan asyawan","banyumas-dps@indo.net.id","JL. KEPUNDUNG 70 (64 LAMA)
DANGIN PURI KAJA DENPASAR 80232  BALI
",""
"SD","PT. BATAM SURYA MAKMUR","Batam","Kepulauan Riau","PT. ANUGERAH BERDIKARI SEJATI","","","0811804807","","","KOMPLEK CITRA BUANA PRAKARSA 1 BLOK J NO.4
KEL. KAMPUNG SERAYA KEC. BATU AMPAR
BATAM 29454 KEP. RIAU
","INI CUSTOMER JENIS APA GA PERNAH TRANSAKSI DI ACCURATE
SO Pertama langsung ditutup"
"SD","PT. BERKAT GUNA ANUGRAH","Manado","Sulawesi Utara","Klik Logsitik","Rp 192.000/karton","","0431-7194807
","Welly","ptberkatgunaanugrah@gmail.com","JL. ARIE LASUT
PERUMAHAN KOMBOS HOLLY LESTARI G-2/4
KEL. KAIRAGI SATU KEC. MAPANGET
MANADO 95253 SULAWESI UTARA INDONESIA ",""
