code_market,customer_name,regency,province,expedition_name,term_payment,operational_time,customer_contact,customer_PIC,email,customer_address,customer_character
"SF","ALKES NIAGA MEDICAL","KOTA JAKARTA PUSAT","DKI JAKARTA","PT. SARWA MANGGALLA RAYA","COD","","081289566639","","","JL. KEBON KACANG 1 NO.6 LOS 6
TANAH ABANG
KOTA JAKARTA PUSAT
DKI JAKARTA",""
"SF","APOTEK 1001","KOTA TANGERANG","BANTEN","PT. SARWA MANGGALLA RAYA","COD","","083813030942","","","JL. GAJAH TUNGGAL NO.92 JATAKE JATIUWUNG
JATIUWUNG
KOTA TANGERANG 15136
BANTEN",""
"SF","APOTEK 23","KOTA BEKASI","JAWA BARAT","PT. SARWA MANGGALLA RAYA","","","02122172598","","","JALAN KAMPUNG SAWAH NO 93
PONDOK MELATI
KOTA BEKASI  
JAWA BARAT
",""
"SF","APOTEK 23 BALEENDAH","KABUPATEN BANDUNG","JAWA BARAT","PAXEL","COD","","08122452547","","","JL. RAYA LASWI NO.23
BALEENDAH
KAB BANDUNG 40375
JAWA BARAT",""
"SF","APOTEK 23 PLUS JAKASETIA","KOTA BEKASI","JAWA BARAT","PT. SARWA MANGGALLA RAYA","COD","","","","","JL. RAYA JAKASETIA NO.6 RT.004/RW.001
BEKASI SELATAN
KOTA BEKASI  
JAWA BARAT",""
"SF","APOTEK 24 JAM","KOTA TANGERANG SELATAN","BANTEN","PT. SARWA MANGGALLA RAYA","COD","","","","","JL. MANDAR RAYA BLOK DD 12 NO.23 BINTARO SEKTOR 3A
PONDOK AREN
KOTA TANGERANG SELATAN
BANTEN",""
"SF","APOTEK 3S","KOTA BANDUNG","JAWA BARAT","PAXEL","COD","","088218952819","","","JL. MEKAR UTAMA 119
BOJONGLOA KIDUL
KOTA BANDUNG
JAWA BARAT",""
"SF","APOTEK 58","KOTA TANGERANG","BANTEN","PT. SARWA MANGGALLA RAYA","","","","","","JL. RUKO MODERNLAND BLOK AR NO. 32
TANGERANG
KOTA TANGERANG  
BANTEN",""
"SF","APOTEK 64 FARMA","KABUPATEN SIDOARJO","JAWA TIMUR","PAXEL","COD","","081938801031","","","JL. KENONGGO SARI NO.64
WARU
KAB SIDOARJO
JAWA TIMUR",""
"SF","APOTEK 7-H FARMA","KABUPATEN KARANGANYAR","JAWA TENGAH","PAXEL","COD","","085739040703","","","JL. KRONGGAHAN FAJAR INDAH
COLOMADU
KAB KARANGANYAR
JAWA TENGAH",""
"SF","APOTEK 88","KOTA SURAKARTA","JAWA TENGAH","PAXEL","COD","","08112652292","","","JL. DR CIPTOMANGUNKUSUMO NO.18
RT.03/RW.06 SRIWEDARI
LAWEYAN
KOTA SURAKARTA
JAWA TENGAH",""
"SF","APOTEK 99 FARMA","KABUPATEN TANGERANG","BANTEN","PT. SARWA MANGGALLA RAYA","","","082277215973","","","JL. RAYA KRONJO NO. 5, PASILIAN
KRONJO
KAB TANGERANG 15550 '",""
"SF","APOTEK A.H.C PRIUK","KOTA TANGERANG","BANTEN","PT. SARWA MANGGALLA RAYA","","","'08119131181","","","JL. MOH TOHA KM 4 RT. 03, RW. 02, KEL. PERIUK JAYA
PERIUK
KOTA TANGERANG 15520 '08119131181",""
"SF","APOTEK A.K.A FARMA","KOTA JAKARTA BARAT","DKI Jakarta","PT. SARWA MANGGALLA RAYA","","","'081212807361","","","JL. KEDOYA RAYA NO. 159
KEBON JERUK
KOTA JAKARTA BARAT  
DKI JAKARTA",""
"SF","APOTEK A4","KABUPATEN CIREBON","JAWA BARAT","PT. ADIKA DWIKARYA UTAMA","","","","","","DESA LURAH BLOK DESA RT 04 RW 02 PLUMBON
",""
"SF","APOTEK ABADI","KABUPATEN BANDUNG BARAT","JAWA BARAT","PAXEL","COD","","0226806368","","","JL. RAYA PURWAKARTA NO.16
PADALARANG
KAB BANDUNG BARAT
JAWA BARAT",""
"SF","APOTEK ABI FARMA","KOTA TANGERANG","BANTEN","PT. SARWA MANGGALLA RAYA","","","'082312420050","","","JL. PONDOK BAHAR RAYA BLOK A NO 3A
KARANG TENGAH
KOTA TANGERANG 15157 ",""
"SF","APOTEK ABIL","KOTA JAKARTA BARAT","DKI JAKARTA","PT. SARWA MANGGALLA RAYA","","","'081310289494","","","JL. SEMANAN RAYA NO. 121
KALIDERES
KOTA JAKARTA BARAT 11850 
",""
"SF","APOTEK ABIMANYU FARMA","KABUPATEN BANDUNG","JAWA BARAT","PAXEL","COD","","082126886424","","","JL. CIKONENG NO.7A BOJONGSOANG
BOJONGSOANG
KAB BANDUNG 40288
JAWA BARAT",""
