"PT. SARWA MANGGALLA RAYA";;;;;;;;;;;;;;;;
"Ringkasan Daftar Pesanan Penjualan";;;;;;;;;;;;;;;;
"Dari 09 Aug 2023 ke 09 Aug 2023";;;;;;;;;;;;;;;;
"Filter berdasarkan :Status";;;;;;;;;;;;;;;;
"Tgl Pesan";;"";"No. Pesanan";"";"No. Pelanggan";"";"Nama Pelanggan";"";"Status";"";"No. PO";"";"Jumlah";"";"Keterangan";"";
;;;;;;;;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3719";"21485921";"APOTEK K24 PETA BARAT";"Mengantri";"3BE223080900001728";"335,630.00";"";
;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3718";"4763655";"TO. SUMBER WARAS";"Mengantri";"DE9B23080900006748";"116,550.00";"";
;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3717";"4851230";"APOTEK DHARMA PHARMA";"Mengantri";"9ECB23080900001217";"122,000.00";"";
;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3716";"5304717";"TO. DAN KOSMETIK FAZRIN";"Mengantri";"6EA423080900001723";"68,400.00";"";
;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3715";"17370682";"TO. DAN KOSMETIK AYUMI";"Mengantri";"992323080900005265";"348,000.00";"";
;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3714";"16798243";"TO. FARIDA MEDIKA";"Mengantri";"6EA423080900001721";"35,000.00";"";
;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3713";"5794592";"APOTEK ULINA FARMA";"Mengantri";"03D523080900006150";"127,500.00";"";
;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3712";"4684947";"APOTEK BERKAH BERSAMASEJAHTERA";"Mengantri";"992323080900005263";"470,969.67";"";
;;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3711";"16908298";"TO. NAUREEN FARMA";"Mengantri";"992323080900005261";"87,000.00";"";
;;
"09 Agu 2023";;"SO/SMR/SF/23/VIII/3710";"4852662";"TO. DAN KOSMETIK DIA";"Mengantri";"3BE223080900001726";"396,000.00";"";
;;
"09 Agu 2023";;"SO/SMR/SD/23/VIII/0358";"C-P006";"TO. PRABA";"Mengantri";"";"60,250,000.00";"Perincian Diskon Salep Kulit 88 sbb :- Disc. Reg. HNA : 5 Ctn x Rp 700.000 =Rp 3.500.000";
;;
;
"09 Agu 2023";;"SO/SMR/SD/23/VIII/0357";"C-S062";"TO SUMBER REJEKI";"Mengantri";"";"35,700,000.00";"Perincian Diskon Salep Kulit 88 sbb :- Disc. Reg. HNA : 3 Ctn x Rp 700.000 =Rp 2.100.000- Disc. TOP 7 Hari : 3 Ctn x Rp 150.000= Rp 450.000Total Diskon = Rp 2.550.000";
;;
;
"09 Agu 2023";;"SO/SMR/MT/23/VIII/1833";"MT-SSI005";"PT. SINARSAHABAT INTIMAKMUR";"Mengantri";" 3180075";"268,264.80";"";
;

"";;;;;;;;;;;;;;;;
"Cetak di 09 Agu 2023 - 15:33";;;;;;;;;;;;;;;;
"(1)";;;;;;;;;;;;;;;;
