no_PO,no_SJ,customer_name,delivery_time
2H1N93919,SJ/SMR/MT/23/I/3035,IDG BINTARA,2023-01-02
2H1N02511,SJ/SMR/MT/23/I/3036,IDG KEMAYORAN,2023-01-02
,SJ/SMR/MT/23/I/0095,IDG CIKOKOL,2023-01-12
3H1N10169,SJ/SMR/MT/23/I/0032,IDM BEKASI,2023-01-05
3H1N17521,SJ/SMR/MT/23/I/0033,IDM YOGYA,2023-01-05
4H1N45829,SJ/SMR/MT/23/I/0034,IDM JATI TERNATE,2023-01-05
4H1N39205,SJ/SMR/MT/23/I/0035,IDM JAKARTA 1,2023-01-05
4H1N39688,SJ/SMR/MT/23/I/0036,IDM LEBAK,2023-01-05
4H1N40437,SJ/SMR/MT/23/I/0037,IDM JAKARTA 2,2023-01-05
5H1N62678,SJ/SMR/MT/23/I/0047,IDG BINTARA,2023-01-05
5H1N62830,SJ/SMR/MT/23/I/0048,IDG TANGERANG,2023-01-05
5H1N70616,SJ/SMR/MT/23/I/0049,IDM KLATEN,2023-01-05
5H1N70033,SJ/SMR/MT/23/I/0050,IDM JAKARTA 1,2023-01-05
5H1N65317,SJ/SMR/MT/23/I/0051,IDM BOGOR 2,2023-01-05
5H1N65124,SJ/SMR/MT/23/I/0052,IDM LEBAK,2023-01-05
5H1N71855,SJ/SMR/MT/23/I/0053,IDM MEDAN,2023-01-05
5H1N69482,SJ/SMR/MT/23/I/0054,IDM BOGOR 2,2023-01-05
5H1N74438,SJ/SMR/MT/23/I/0055,IDM PALEMBANG,2023-01-05
5H1N80705,SJ/SMR/MT/23/I/0056,IDG SAMARINDA,2023-01-05
9H1N51389,SJ/SMR/MT/23/I/0080,IDG BINTARA,2023-01-09
2H1N04004,SJ/SMR/MT/23/I/3037,IDG KARAWANG,2023-01-02
VHCM82226,SJ/SMR/MT/23/I/3033,IDG PALEMBANG,2023-01-02
VHCM73292,SJ/SMR/MT/23/I/3031,IDM LAMPUNG,2023-01-02
5H1N80191,SJ/SMR/MT/23/I/0067,IDG CIPUTAT,2023-01-06
5H1N85037,SJ/SMR/MT/23/I/0068,IDG KEMAYORAN,2023-01-06
5H1N86501,SJ/SMR/MT/23/I/0069,IDG SOLO,2023-01-06
6H1N01901,SJ/SMR/MT/23/I/0070,IDM PARUNG,2023-01-06
9H1N45595,SJ/SMR/MT/23/I/0078,IDG PONTIANAK,2023-01-09
9H1N50719,SJ/SMR/MT/23/I/0079,IDG CIPINANG,2023-01-09
9H1N57370,SJ/SMR/MT/23/I/0081,IDG CIPUTAT,2023-01-09
9H1N62712,SJ/SMR/MT/23/I/0082,IDG KEMAYORAN,2023-01-09
9H1N64252,SJ/SMR/MT/23/I/0083,IDG KARAWANG,2023-01-09
AH1N91745,SJ/SMR/MT/23/I/0087,IDG LAMPUNG,2023-01-10
BH1N2086,SJ/SMR/MT/23/I/0092,IDM ACEH,2023-01-11
BH1N21483,SJ/SMR/MT/23/I/0093,IDG KENDARI,2023-01-11
BH1N26725,SJ/SMR/MT/23/I/0094,IDG SOLO,2023-01-11
CH1N32053,SJ/SMR/MT/23/I/0099,IDG TANGERANG,2023-01-12
CH1N33770,SJ/SMR/MT/23/I/0100,IDM JAKARTA 2,2023-01-12
CH1N41536,SJ/SMR/MT/23/I/0101,IDM PALEMBANG,2023-01-12
CH1N46587,SJ/SMR/MT/23/I/0102,IDG BOGOR,2023-01-12
CH1N47818,SJ/SMR/MT/23/I/0103,IDG SAMARINDA,2023-01-12
CH1N47482,SJ/SMR/MT/23/I/0104,IDG CIPUTAT,2023-01-12
CH1N52395,SJ/SMR/MT/23/I/0105,IDG KEMAYORAN,2023-01-12
EH1N10996,SJ/SMR/MT/23/I/0120,IDG PONTIANAK,2023-01-16
GH1N34389,SJ/SMR/MT/23/I/0121,IDG KEMAYORAN,2023-01-16
GH1N38030,SJ/SMR/MT/23/I/0122,IDG KARAWANG,2023-01-16
VHCM76032,SJ/SMR/MT/23/I/3030,IDM JATI TERNATE,2023-01-02
VHCM75465,SJ/SMR/MT/23/I/3032,IDM PALEMBANG,2023-01-02
VHCM75465,SJ/SMR/MT/23/I/3032,IDM PALEMBANG,2023-01-02
VHCM90291,SJ/SMR/MT/23/I/3034,IDG SOLO,2023-01-02
VHCM90291,SJ/SMR/MT/23/I/3034,IDG SOLO,2023-01-02
HH1N71036,SJ/SMR/MT/23/I/0125,IDG SOLO,2023-01-17
UH1N92273,SJ/SMR/MT/23/I/0210,IDG BOGOR,2023-01-30
UH1N87295,SJ/SMR/MT/23/I/0211,IDG BINTARA,2023-01-30
UH1N87193,SJ/SMR/MT/23/I/0212,IDG TANGERANG,2023-01-30
SH1N79016,SJ/SMR/MT/23/I/0213,IDG PONTIANAK,2023-01-30
SH1N71099,SJ/SMR/MT/23/I/0214,IDM DEPO BANGKA,2023-01-30
QH1N15466,SJ/SMR/MT/23/I/0184,IDG KARAWANG,2023-01-26
QH1N06884,SJ/SMR/MT/23/I/0185,IDG CIPUTAT,2023-01-26
QH1N07395,SJ/SMR/MT/23/I/0186,IDG SAMARINDA,2023-01-26
QH1N91837,SJ/SMR/MT/23/I/0187,IDM TANGERANG 2,2023-01-26
QH1N91837,SJ/SMR/MT/23/I/0187,IDM TANGERANG 2,2023-01-26
QH1N98464,SJ/SMR/MT/23/I/0188,IDM LEBAK,2023-01-26
QH1N97601,SJ/SMR/MT/23/I/0189,IDM SURABAYA,2023-01-26
QH1N91778,SJ/SMR/MT/23/I/0190,IDM SEMARANG,2023-01-26
QH1N98115,SJ/SMR/MT/23/I/0191,IDM MEDAN,2023-01-26
QH1N91323,SJ/SMR/MT/23/I/0192,IDM KLATEN,2023-01-26
JH1N13631,SJ/SMR/MT/23/I/0140,IDM KLATEN,2023-01-19
JH1N35406,SJ/SMR/MT/23/I/0152,IDM LAMPUNG,2023-01-20
JH1N44281,SJ/SMR/MT/23/I/0160,IDM PALEMBANG,2023-01-20
2H2N98621,SJ/SMR/MT/23/II/0262,IDM BENGKULU,2023-02-03
JH1N10943,SJ/SMR/MT/23/I/0138,IDG BINTARA,2023-01-19
JH1N27456,SJ/SMR/MT/23/I/0142,IDG KARAWANG,2023-01-19
JH1N13159,SJ/SMR/MT/23/I/0139,IDM JAKARTA 1,2023-01-19
JH1N43026,SJ/SMR/MT/23/I/0154,IDM TANGERANG 1,2023-01-20
JH1N43026,SJ/SMR/MT/23/I/0155,IDM TANGERANG 1,2023-01-20
NH1N0173,SJ/SMR/MT/23/I/0167,IDG BINTARA,2023-01-23
LH1N78361,SJ/SMR/MT/23/I/0166,IDM TANGERANG 2,2023-01-23
LH1N74059,SJ/SMR/MT/23/I/0165,IDM BOGOR 2,2023-01-23
LH1N74059,SJ/SMR/MT/23/I/0165,IDM BOGOR 2,2023-01-23
JH1N40989,SJ/SMR/MT/23/I/0158,IDM BANDUNG,2023-01-20
JH1N25334,SJ/SMR/MT/23/I/0141,IDG KEMAYORAN,2023-01-19
VH1N07208,SJ/SMR/MT/23/II/0219,IDG YOGYA,2023-01-31
VH1N24566,SJ/SMR/MT/23/II/0220,IDG PALEMBANG,2023-01-31
NH1N05096,SJ/SMR/MT/23/I/0168,IDG CIPUTAT,2023-01-23
VH1N30665,SJ/SMR/MT/23/II/0221,IDG LAMPUNG,2023-01-31
VH1N30665,SJ/SMR/MT/23/II/0221,IDG LAMPUNG,2023-01-31
6H2N96418,SJ/SMR/MT/23/II/0277,IDG PONTIANAK,2023-02-07
7H2N98128,SJ/SMR/MT/23/II/0278,IDG YOGYA,2023-02-07
7H2N98128,SJ/SMR/MT/23/II/0278,IDG YOGYA,2023-02-07
RH1N27969,SJ/SMR/MT/23/I/0201,IDM JAKARTA 2,2023-01-27
6H2N88368,SJ/SMR/MT/23/II/0273,IDG KEMAYORAN,2023-02-06
1H2N44627,SO/SMR/MT/23/II/0229,IDM PARUNG,2023-02-01
1H2N44627,SO/SMR/MT/23/II/0229,IDM PARUNG,2023-02-01
1H2N46087,SO/SMR/MT/23/II/0230,IDM JAKARTA 1,2023-02-01
1H2N46087,SO/SMR/MT/23/II/0230,IDM JAKARTA 1,2023-02-01
1H2N63610,SJ/SMR/MT/23/II/0231,IDG PALEMBANG,2023-02-01
IH1N04268,SJ/SMR/MT/23/I/0134,IDG SOLO,2023-01-18
2H2N95370,SJ/SMR/MT/23/II/0236,IDG KARAWANG,2023-02-02
