no_PO,no_SJ,customer_name,delivery_time
TZ01POL22017546,SJ/SMR/MT/22/XII/2999,SAT BALARAJA,2023-01-02
JZ01POL22007953,SJ/SMR/MT/22/XII/2998,SAT CILENGSI,2023-01-02
1MZ1POL22008089,SJ/SMR/MT/22/XII/2996,SAT PARUNG,2023-01-02
LZ01POA23000420,SJ/SMR/MT/23/I/3020,SAT LAMPUNG,2023-01-02
1DZ1POA23000306,SJ/SMR/MT/23/I/3021,SAT JAMBI,2023-01-02
2JZ1POA23000464,SJ/SMR/MT/23/I/3022,SAT CIANJUR,2023-01-02
JZ01POA23000518,SJ/SMR/MT/23/I/3023,SAT CILENGSI,2023-01-02
IZ01POA23000442,SJ/SMR/MT/23/I/3024,SAT CILACAP,2023-01-02
OZ01POA23000474,SJ/SMR/MT/23/I/3025,SAT KLATEN,2023-01-02
TZ01POA23000480,SJ/SMR/MT/23/I/3026,SAT BALARAJA,2023-01-02
1VZ1POA23000208,SJ/SMR/MT/23/I/3027,SAT KOTABUMI,2023-01-02
TZ01POA23001192,SJ/SMR/MT/23/I/3028,SAT BALARAJA,2023-01-02
SHZ1POL22012544,SJ/SMR/MT/23/I/3029,MIDI BALARAJA TIMUR / BITUNG,2023-01-02
RZ01POA23001644,SJ/SMR/MT/23/I/0063,SAT MAKASSAR,2023-01-06
JZ01POA23001946,SJ/SMR/MT/23/I/0064,SAT CILENGSI,2023-01-06
1JZ1POA23001672,SJ/SMR/MT/23/I/0046,SAT KARAWANG,2023-01-06
JZ01POA23001946,SJ/SMR/MT/23/I/0045,SAT CILENGSI,2023-01-06
SIZPOA23000766,SJ/SMR/MT/23/I/0066,MIDI YOGYAKARTA,2023-01-06
822423010500004165,SJ/SMR/SF/23/I/0070,APOTEK SATYA ESY,2023-01-10
SHZ1POA23003750,SJ/SMR/MT/23/I/0077,MIDI BALARAJA TIMUR / BITUNG,2023-01-09
SCZ1POA23002100,SJ/SMR/MT/23/I/0076,MIDI BEKASI,2023-01-09
1PZ1POA23002495,SJ/SMR/MT/23/I/0075,SAT PONTIANAK,2023-01-09
TZ01POA23006221,SJ/SMR/MT/23/I/0074,SAT BALARAJA,2023-01-09
992323010600001500,SJ/SMR/SF/23/I/0104,TO. SATRIA,2023-01-09
992323010600001500,SJ/SMR/SF/23/I/0104,TO. SATRIA,2023-01-09
992323010600001500,SJ/SMR/SF/23/I/0104,TO. SATRIA,2023-01-09
1JZ1POL22007467,SJ/SMR/MT/22/XII/2997,SAT KARAWANG,2023-01-02
XZ01POA23001344,SJ/SMR/MT/23/I/0028,SAT CIBINONG,2023-01-04
KZ01POA23000291,SJ/SMR/MT/23/I/0026,SAT CIKOKOL,2023-01-04
CZ01POA23000878,SJ/SMR/MT/23/I/0029,SAT BEKASI,2023-01-04
UZ01POA23002031,SJ/SMR/MT/23/I/0020,SAT SIDOARJO,2023-01-04
1MZ1POA23001873,SJ/SMR/MT/23/I/0027,SAT PARUNG,2023-01-04
VZ01POAA23003745,SJ/SMR/MT/23/I/0090,SAT CIREBON/PLUMBON,2023-01-11
SLZ1POA23002099,SJ/SMR/MT/23/I/0091,MIDI PASURUAN,2023-01-11
BZ01POA23001345,SJ/SMR/MT/23/I/0084,SAT BANDUNG,2023-01-11
,SJ/SMR/MT/23/I/0098,SAT KARAWANG,2023-01-13
CZ01POA23004976,SJ/SMR/MT/23/I/0111,SAT BEKASI,2023-01-13
XZ01POAA230005950,SJ/SMR/MT/23/I/0112,SAT BOGOR,2023-01-13
SIZ1POA23001943,SJ/SMR/MT/23/I/0113,MIDI YOGYAKARTA,2023-01-13
JZ01POA23007225,SJ/SMR/MT/23/I/0118,SAT CILENGSI,2023-01-17
TZ01POA23013483,SJ/SMR/MT/23/I/0117,SAT BALARAJA TIMUR,2023-01-17
SCZ1POA23004427,SJ/SMR/MT/23/I/0119,MIDI BEKASI,2023-01-17
,SJ/SMR/MT/23/I/0123,MIDI BALARAJA TIMUR / BITUNG,2023-01-17
VZ01POA23001241,SJ/SMR/MT/23/I/0023,SAT CIREBON/PLUMBON,2023-01-04
NZ01POA23006867,SJ/SMR/MT/23/I/0127,SAT BANDUNG,2023-01-18
BZ01POA23008104,SJ/SMR/MT/23/I/0128,SAT BANDUNG,2023-01-18
QZ01POA23006192,SJ/SMR/MT/23/I/0129,SAT BALI,2023-01-18
WZ01POA23008453,SJ/SMR/MT/23/I/0130,SAT MEDAN,2023-01-18
UZ01POA23011839,SJ/SMR/MT/23/I/0131,SAT SIDOARJO,2023-01-18
SFZ1POA23003384,SJ/SMR/MT/23/I/0132,MIDI MEDAN,2023-01-18
SLZ1POA23003623,SJ/SMR/MT/23/I/0133,MIDI PASURUAN,2023-01-18
NZ01POA23001284,SJ/SMR/MT/23/I/0025,SAT CIMAHI,2023-01-04
SHZ1POL22011754,SJ/SMR/MT/23/I/0038,MIDI BALARAJA TIMUR / BITUNG,2023-01-05
,SJ/SMR/MT/23/I/0039,MIDI BALARAJA TIMUR / BITUNG,2023-01-05
,SJ/SMR/MT/23/I/0040,MIDI BEKASI,2023-01-05
1JZ1POA23007685,SJ/SMR/MT/23/I/0136,SAT KARAWANG,2023-01-19
TZ01POA23016227,SJ/SMR/MT/23/I/0137,SAT BALARAJA TIMUR,2023-01-19
99233011900001774,SJ/SMR/SF/23/I/0385,TO. SATRIA,2023-01-20
99233011900001774,SJ/SMR/SF/23/I/0385,TO. SATRIA,2023-01-20
CZ01POA23007794,SJ/SMR/MT/23/I/0150,SAT BEKASI,2023-01-23
KZ01POA23010434,SJ/SMR/MT/23/I/0151,SAT CIKOKOL,2023-01-23
